,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13,22763.572,22668.146,23037.352,22599.29,178358.16,-112.36896,74.914505,471.41,22616.076,22856.846,22823.918,707.41,22529.549,737.6587,3.83052,0.02699894,123045.77,73.93556,1.5028596
14,22744.191,22693.598,23043.037,22600.889,179770.19,-64.89064,119.42347,485.88834,22389.334,22710.77,22738.111,1006.3027,22493.027,1130.388,5.8883295,0.042154152,220128.28,73.5398,1.592071
15,22983.553,22857.738,23221.479,22806.338,174732.64,-30.560534,119.537285,452.19046,22583.375,22918.367,22970.998,1030.9421,22692.639,1146.284,6.190224,0.044217438,245027.88,73.70643,1.3886939
16,22447.64,22483.656,22825.277,22342.898,182814.55,-153.67963,70.49542,509.02994,22418.305,22634.293,22550.086,642.33264,22290.947,677.2736,3.1551726,0.023312042,104642.52,73.81433,1.7523971
17,22562.994,22549.768,22893.375,22430.875,180184.97,-160.86316,53.667416,490.80447,22599.049,22764.027,22662.92,522.8529,22404.584,511.35864,2.4306276,0.016897572,59845.94,73.981766,1.6411495
18,22200.014,22289.252,22603.627,22114.137,186389.48,-235.31085,15.014264,518.4719,22541.598,22580.488,22383.553,214.44757,22159.771,105.193474,0.25745833,-0.0004852738,-55393.69,74.2573,1.7466432
19,22531.312,22508.691,22860.86,22399.072,182431.62,-165.87222,46.87927,492.00354,22597.182,22747.238,22645.477,476.5098,22377.293,446.63846,2.1753078,0.014275995,42801.613,74.09908,1.6059902
20,22974.717,22809.518,23198.271,22771.646,174212.2,-105.658646,55.18818,443.13528,22881.768,23062.16,23025.895,588.0018,22739.916,565.4762,3.2197464,0.020743463,82152.05,74.25832,1.2620529
21,22735.197,22636.62,23005.326,22570.408,179165.61,-121.59546,67.51541,471.4844,22625.93,22848.201,22806.592,656.73834,22507.799,666.75006,3.4890254,0.024101969,103195.67,74.02153,1.485986
22,22614.314,22553.275,22917.885,22468.635,181320.28,-158.46811,37.687595,477.4434,22685.984,22839.617,22746.387,430.11078,22439.938,370.25986,1.8958324,0.012487999,43614.83,74.31895,1.5155953
23,21916.598,22087.04,22384.52,21877.963,190256.25,-274.15643,-10.701595,531.06604,22452.94,22455.828,22210.102,42.128963,21944.557,-142.90959,-1.0564476,-0.009342171,-91123.39,74.66191,1.8060089
24,21779.63,21947.17,22242.82,21742.39,195500.12,-298.9566,-25.75401,541.78,22421.264,22368.793,22102.969,-67.19673,21832.553,-310.12054,-1.7409884,-0.015971262,-144641.9,74.82391,1.7907277
25,21887.074,21947.938,22254.668,21789.861,195787.02,-340.78082,-73.14499,520.7888,22722.77,22531.5,22216.184,-412.8475,21961.283,-833.61786,-3.7892575,-0.03562485,-293623.9,75.44039,1.5632824
26,21957.861,21978.162,22296.98,21838.607,195439.23,-342.23645,-79.92944,513.1421,22797.885,22581.383,22268.414,-458.46692,22028.453,-905.7191,-3.9680166,-0.038640812,-323767.34,75.58151,1.4666961
27,21606.121,21734.682,22005.941,21541.564,200960.16,-367.08524,-70.717606,545.53296,22534.283,22308.936,21962.635,-414.19125,21730.525,-828.9667,-3.875619,-0.036941316,-318743.2,75.26825,1.6825234
28,21021.676,21307.102,21536.527,21034.516,213129.75,-426.0941,-88.41079,595.73505,22252.795,21931.572,21511.594,-558.38135,21280.596,-1040.8901,-5.020005,-0.045520842,-372204.53,75.431335,1.8645351
29,21401.908,21493.621,21755.34,21322.227,207540.55,-403.9611,-93.98514,552.8857,22480.787,22180.377,21812.23,-556.67615,21545.56,-1081.9164,-4.811573,-0.04600274,-398974.25,75.699844,1.5967196
30,21482.807,21506.006,21786.168,21355.527,207408.5,-426.6391,-116.56533,542.02936,22613.1,22274.84,21885.943,-722.28534,21618.035,-1331.115,-5.9022527,-0.0536994,-484661.53,75.93542,1.3865817
31,21205.285,21300.746,21543.02,21109.723,211694.1,-461.86737,-126.280525,561.9723,22509.59,22106.207,21664.627,-817.0664,21414.58,-1464.4993,-6.599395,-0.05984711,-527521.5,75.99663,1.4951717
32,20751.922,20947.123,21132.48,20705.99,219855.38,-502.80164,-133.2402,594.20264,22269.701,21795.918,21302.465,-883.36316,21048.424,-1566.8485,-7.1676784,-0.06481013,-564091.25,76.04541,1.6496612
33,20718.953,20938.193,21112.762,20687.12,220311.95,-480.6926,-108.228096,605.0121,22087.658,21683.19,21231.125,-684.6356,20978.299,-1274.7174,-5.9534235,-0.05385594,-501026.38,75.5476,1.7340217
34,20455.725,20834.488,20980.113,20497.676,223305.0,-493.66034,-102.07072,638.85345,21965.486,21498.723,21005.71,-662.7079,20829.877,-1223.3336,-5.8423114,-0.054300357,-472704.2,75.39979,1.9638673
35,20945.65,21045.787,21246.309,20860.63,218359.92,-431.73087,-75.0368,591.3319,21938.893,21705.053,21363.465,-389.20038,21036.055,-870.73846,-4.1401954,-0.036020085,-423185.0,75.036835,1.6086644
