,close,open,high,low,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR
696,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,151500.25,189.2188417,30.42402635,289.39,23522.03038,23786.91445,24021.795,3.28,23878.682,-12.27,1.413374563,-0.010565636000000002,493000.0,74.11,0.01
697,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,113625.92,183.5758333,-36.26018542,294.01,23572.28038,23807.91117,23982.926,177.07,23878.544,-277.67,-1.593248421,-0.012166776,607000.0,73.76,0.01
698,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,124510.27,167.9255466,-25.05900081,435.64,23634.14231,23815.99963,23941.903,372.22,23891.05,-388.96,-1.687976046,-0.003483847,365000.0,73.38,0.01
699,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,157058.08,146.79332140000002,-56.7438244,370.92,23692.04231,23815.01205,23924.829,-90.47,23948.052000000003,-590.44,-0.712117806,-0.013648212,159000.0,73.11,0.01
700,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,146849.27,121.7976086,-119.5234761,175.19,23731.87269,23806.04042,23883.407000000007,-417.5,23912.994,-582.26,-1.716260556,-0.012209128,85500.0,73.03,0.01
701,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,130901.9,93.84122262,-102.0227537,325.2,23761.69385,23789.58419,23845.332,-505.06,23811.982000000004,-343.12,-1.585533439,-0.01561225,125000.0,73.13,0.01
702,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,188076.88,45.50033651,-198.0559949,402.87,23780.53385,23744.40856,23776.049,-823.07,23673.554,-819.79,-2.885821309,-0.02161407,-74600.0,73.13,0.01
703,23841.16500000001,23914.403750000016,24008.398750000015,23739.810625000016,156105.65,2.829723903,-177.652303,180.4,23793.85423,23698.42774,23719.179,-745.77,23547.308,-752.39,-2.386456576,-0.01101204,-16000.0,74.12,0.01
704,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,128279.72,-38.80816032,-167.4500893,275.95,23793.87231,23647.067000000006,23683.031000000006,-733.7,23418.01,-848.93,-1.536864249,-0.030840179,5630.0,74.91,0.01
705,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,100855.76,-56.87968602,-93.83692435,233.56,23804.17269,23617.44158,23627.021,-469.63,23341.048,-494.31,-2.343897121,-0.033238035,-93800.0,74.67,0.01
706,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,130874.24,-73.91601315,-73.76665406,275.59,23813.07423,23586.42809,23542.37,-341.45,23272.758,-228.82,-3.506914941,-0.029806668,-70600.0,75.32,0.01
707,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,121353.05,-103.8147194,-116.9844149,306.26,23798.54846,23537.60256,23449.008,-241.48,23224.462000000003,-822.34,-4.410209331,-0.034281400000000004,-189000.0,75.21,0.01
708,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,123165.46,-109.9019142,-82.94796158,406.95,23788.885,23512.71374,23387.351,14.66,23227.394,-862.04,-3.04535522,-0.022236757000000003,-337000.0,75.71,0.01
709,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,107606.3,-138.5978996,-96.34102895,339.13,23756.52846,23460.13434,23302.851,-198.51,23187.692000000006,-1046.75,-3.901629107,-0.032046966,-486000.0,75.59,0.01
710,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,92637.08,-164.2514734,-112.8167768,199.85,23708.47077,23406.89107,23220.878,-434.92,23100.708,-991.76,-3.799731408,-0.030980504,-451000.0,75.36,0.01
711,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,106741.19,-173.69890049999995,-82.50437616,156.64,23659.47423,23369.20049,23158.667,-324.86,23044.576,-794.49,-2.991761243,-0.013042971,-482000.0,75.37,0.01
712,23047.803125000013,23023.513125000012,23124.992500000015,22920.298750000016,114641.06,-166.9767548,-38.91265577,236.99,23616.45808,23349.59854,23143.481,-128.42,23062.5,-557.43,-1.988173442,-0.004222838,-398000.0,75.11,0.01
