,0
949,20165.098
950,19939.572
951,19652.623
952,19351.035
953,19234.023
954,20484.299
955,18654.453
956,19814.105
957,22886.229
958,19623.93
959,17738.145
960,19137.52
961,19227.84
962,19022.203
963,16851.973
964,16999.94
965,12662.233
966,14475.599
967,17339.467
968,18519.57
969,18892.37
970,19003.285
971,19000.535
972,19169.494
973,19112.625
974,18901.736
975,18328.957
976,14061.534
977,21171.824
978,19493.494
979,18797.662
980,18660.973
981,16495.934
982,17935.67
983,21115.975
984,16543.47
985,18176.041
986,18270.174
987,21181.652
988,21512.814
989,23491.152
990,19384.785
991,19369.549
992,19526.35
993,19154.52
994,19408.182
995,24892.068
996,17420.82
997,20247.82
998,21229.852
999,17647.516
1000,18408.973
1001,16802.729
1002,16911.795
1003,22126.465
1004,18887.55
1005,18378.47
1006,18241.164
1007,19854.697
1008,18910.594
1009,18906.969
1010,20393.74
1011,20297.691
1012,18933.715
1013,20391.232
1014,19164.47
1015,19259.967
1016,19244.188
1017,20873.705
1018,19216.559
1019,20559.193
1020,19040.57
1021,20213.342
1022,18977.646
1023,18779.662
1024,20100.365
1025,19654.408
1026,19886.947
1027,19774.457
1028,18538.328
1029,17876.89
1030,18850.17
1031,20375.688
1032,19762.252
1033,19652.127
1034,19641.123
1035,26079.645
1036,19465.549
1037,17925.469
1038,18572.23
1039,17653.34
1040,14844.286
1041,20281.656
1042,19903.924
1043,19632.738
1044,19626.87
1045,21411.252
1046,20703.346
1047,20879.205
1048,20484.162
1049,19598.275
1050,19808.857
1051,19961.938
1052,19924.182
1053,20018.781
1054,20025.912
1055,20077.26
1056,20071.375
1057,20550.805
1058,20901.287
1059,20859.762
1060,20766.662
1061,20763.363
1062,20968.17
1063,20989.264
1064,20922.969
1065,21025.607
1066,21188.87
1067,21128.89
1068,21008.906
1069,20824.87
1070,20859.709
1071,21007.861
1072,21322.482
1073,21288.84
1074,21189.459
1075,21182.336
1076,21076.402
1077,20851.445
1078,20605.752
1079,20479.91
1080,20472.848
1081,22043.71
1082,20050.555
1083,21208.207
1084,19815.781
1085,19945.117
1086,21095.688
1087,20406.625
1088,20473.643
1089,20633.445
1090,22697.578
1091,20937.277
1092,19270.498
1093,20603.613
1094,22294.537
1095,21027.252
1096,23938.207
1097,20857.992
1098,20574.02
1099,21188.805
1100,15635.153
1101,20440.582
1102,21368.19
1103,22339.793
1104,21523.768
1105,21642.809
1106,21608.207
1107,21274.014
1108,21212.877
1109,22862.697
1110,21896.617
1111,21789.312
1112,17461.275
1113,20550.113
1114,23519.328
1115,23654.875
1116,20889.916
1117,22148.035
1118,23251.438
1119,23720.879
1120,22579.68
1121,19779.953
1122,23079.52
1123,21941.25
1124,22045.512
1125,22138.78
1126,24133.451
1127,24045.568
1128,22320.02
1129,22139.559
1130,22154.24
1131,22526.646
1132,23761.57
1133,24471.824
1134,23977.553
1135,22563.957
1136,27160.898
1137,24079.6
1138,23487.342
1139,23490.664
1140,23298.512
1141,23549.809
1142,23642.72
1143,23589.4
1144,23692.182
1145,23399.42
1146,23316.479
1147,23373.883
1148,23390.5
1149,22487.357
1150,23749.676
1151,23429.568
1152,22216.781
1153,23054.824
1154,23102.035
1155,23136.89
1156,22943.578
1157,23229.957
1158,23270.836
1159,22889.0
1160,23455.63
1161,23165.174
1162,22687.53
1163,22000.842
1164,23140.152
1165,21854.652
1166,22553.365
1167,22469.191
1168,22257.836
1169,23067.666
1170,22700.492
1171,22795.088
1172,22830.744
1173,22525.596
1174,21579.992
1175,22795.793
1176,22446.883
1177,22465.74
1178,22621.428
1179,22491.957
1180,21534.36
1181,22107.797
1182,21751.613
1183,21189.54
