,close
183,13519.54
184,14521.9697
185,14545.6904
186,14998.04
187,14928.9697
188,14474.8604
189,14901.4102
190,15580.1602
191,15669.6201
192,15582.9902
193,15601.2695
194,15750.9102
195,15285.8896
196,14878.4502
197,15214.46
198,15258.8496
199,14840.4199
200,14555.1104
201,14956.9502
202,15520.9902
203,16381.0498
204,16430.0801
205,16834.5703
206,17217.8906
207,17389.8691
208,17087.9492
209,17153.6406
210,17059.6191
211,16541.6895
212,16790.6992
213,17022.91
214,17544.0293
215,17475.8398
216,17199.4902
217,17062.5195
218,17121.8203
219,16991.5605
220,17885.2695
221,18171.0
222,18888.5898
223,18389.0801
224,18576.4707
225,18502.7695
226,18679.5293
227,18253.3906
228,18058.4902
229,18785.6602
230,18791.0293
231,18889.6797
232,18498.9609
233,18165.5
234,18084.5996
235,17776.6602
236,17920.9297
237,18059.5508
238,17538.3691
239,17892.1504
240,18275.0293
241,18600.2598
242,18528.5098
243,18378.7305
244,18178.0508
245,18203.4004
246,17979.4102
247,17862.2695
248,17721.0703
249,17790.5898
250,17708.4199
251,17254.6309
252,17885.7305
253,18258.6602
254,18361.8691
255,18805.6602
256,19502.3691
257,19501.7305
258,19248.1699
259,19817.6992
260,19982.7891
261,20251.6191
262,20624.5391
263,20135.5
264,20234.0801
265,20573.3301
266,20807.2598
267,20796.4297
268,20494.7695
269,20899.24
270,20375.3691
271,20929.5195
272,21074.2109
273,20435.2402
274,20861.3008
275,20893.3301
276,20137.6504
277,20306.2695
278,19954.2305
279,20328.8594
280,20199.0195
281,20535.9395
282,20435.2402
283,20456.3203
284,20242.75
285,20098.6191
286,19724.1895
287,19872.3008
288,19522.0
289,19761.6797
290,20318.6191
291,20629.3105
292,21069.8105
293,20851.0391
294,21069.5605
295,21161.4199
296,20932.1992
297,20866.37
298,21402.9199
299,21768.5098
300,21623.4492
301,21472.8496
302,21701.1406
303,21595.5195
304,21050.7305
305,21024.4004
306,20588.4102
307,21013.1699
308,20955.25
309,20375.4902
310,20429.0703
311,20811.5293
312,21241.5898
313,21492.9004
314,21499.4395
315,21299.3496
316,21467.3594
317,21886.4805
318,21999.0801
319,21929.9004
320,22200.4609
321,22384.9609
322,22318.1094
323,22210.5195
324,22589.7305
325,22169.5898
326,21761.5801
327,21264.9902
328,21752.8691
329,21620.1895
330,21240.0605
331,21614.7695
332,21479.0801
333,21829.7207
334,22207.5508
335,22268.1602
336,22627.2109
337,22397.5703
338,22553.6309
339,22943.9805
340,22914.1504
341,22840.3301
342,22643.1602
343,22455.8398
344,22771.3906
345,22423.14
346,22611.8008
347,22210.4102
348,21134.5
349,21821.5
350,22113.1504
351,22289.5703
352,22553.8691
353,22498.1504
354,22324.9609
355,22060.5195
356,21741.7598
357,21700.0391
358,21902.1094
359,22085.75
360,21813.9199
361,21611.7402
362,21347.6309
363,21175.8809
364,20948.0996
365,21092.04
366,21328.7402
367,21517.0
368,21480.2207
369,21499.4395
370,21496.6191
371,21872.5
372,21823.2793
373,22279.5801
374,22416.6699
375,22269.4492
376,22296.75
377,22411.5195
378,22326.6406
379,21748.5996
380,21716.95
381,21654.1602
382,21460.0098
383,21677.9805
384,21286.1699
385,20862.6699
386,20726.1797
387,20598.5508
388,20109.3301
389,20033.0703
390,20356.3691
391,20121.9902
392,20243.75
393,20272.1797
394,20722.0801
395,20341.6406
396,19665.0801
397,19550.8906
398,19790.2793
399,19922.2207
400,20290.6895
