,Closing Price,Open Price,High price,Low Price
652,23156.97,23015.39,23183.28,22809.01
653,23301.84,23173.48,23320.43,23079.47
654,23595.24,23342.67,23614.61,23316.3
655,23485.42,23500.11,23585.63,23444.77
656,22990.81,23170.52,23170.52,22938.13
657,22906.9,22983.37,23055.47,22837.09
658,22601.04,22856.78,23036.93,22575.99
659,23012.37,22727.04,23091.32,22712.96
660,23338.02,22900.15,23388.32,22886.37
661,23396.42,23317.96,23478.7,23244.11
662,23048.66,23114.43,23114.43,22915.65
663,23122.42,23102.83,23329.38,23097.15
664,23408.86,23406.77,23506.67,23374.6
665,23313.19,23257.14,23491.71,23229.07
666,23711.7,23401.49,23731.89,23307.7
667,23810.11,23863.93,23934.07,23775.7
668,23614.89,23818.64,23818.64,23564.95
669,23249.78,23437.5,23514.73,23105.99
670,23345.88,23207.15,23345.88,23078.94
671,22678.25,23110.71,23110.71,22253.47
672,22700.88,22814.5,22814.5,22541.55
673,22284.43,22237.24,22393.98,22123.26
674,22300.23,22387.98,22464.35,22273.7
675,22685.22,22401.06,22711.84,22395.3
676,22857.9,22732.95,22880.59,22654.22
677,22825.4,22797.94,22849.23,22714.86
678,22915.28,23005.49,23050.87,22890.83
679,23158.67,23135.38,23179.26,23068.09
680,23068.19,23114.07,23261.68,22952.43
681,23060.36,22997.35,23137.15,22965.34
682,23451.43,23192.79,23505.11,23180.92
683,23527.52,23618.06,23618.06,23450.46
684,23801.9,23664.48,23827.21,23474.34
685,24150.58,23917.01,24164.37,23917.01
686,24285.05,24182.83,24322.26,24102.6
687,24281.8,24317.82,24368.76,24195.61
688,24396.07,24306.44,24468.64,24251.74
689,24303.07,24394.99,24466.47,24250.05
690,23976.37,24142.55,24142.55,23916.55
691,24135.03,23981.05,24200.32,23842.29
692,24014.0,23951.88,24070.76,23912.27
693,24008.07,24086.55,24236.54,23902.03
694,23830.31,23977.87,24145.43,23769.48
695,23520.62,23654.86,23654.86,23468.2
696,23896.1,23709.29,23904.77,23682.79
697,24138.31,24090.55,24185.49,24031.42
698,24007.38,23964.62,24070.03,23844.3
699,23892.84,24193.28,24260.77,23825.13
700,23805.63,24103.03,24132.05,23761.13
701,23720.81,23774.47,23808.93,23633.74
702,23633.25,23794.86,23924.48,23599.28
703,23315.24,23582.6,23582.6,23230.38
704,23261.61,23228.01,23348.33,23167.93
705,23159.14,23035.94,23207.44,22985.66
706,23336.0,23239.15,23392.7,23239.15
707,23291.8,23509.01,23509.01,23233.42
708,23073.76,23112.13,23127.98,22985.54
709,23276.27,23120.0,23295.03,22888.08
710,22960.63,23054.06,23134.64,22937.14
711,22901.08,22896.2,22967.88,22768.03
712,23011.14,22968.62,23057.72,22924.46
713,23163.38,23125.28,23248.13,23031.6
714,23199.39,23215.62,23242.63,23147.42
715,22711.02,22942.96,22942.96,22691.33
716,22730.78,22693.1,22754.45,22631.13
717,22747.28,22558.33,22767.01,22519.66
718,22900.79,22848.06,22943.85,22796.13
719,23118.07,22939.95,23150.6,22859.98
720,23184.32,23117.8,23257.85,23086.05
721,23684.13,23380.29,23707.95,23371.48
722,23626.43,23686.77,23706.0,23598.39
723,23253.84,23280.05,23317.79,23210.95
724,22949.56,23338.76,23338.76,22932.48
725,22868.67,22762.21,22928.96,22730.12
726,22661.63,22757.62,22757.62,22607.09
727,22609.83,22628.13,22647.3,22372.94
728,22420.37,22641.62,22674.8,22297.94
729,22508.08,22172.61,22508.5,22156.81
730,22496.0,22298.47,22642.46,22298.47
731,22343.77,22532.84,22598.76,22327.0
732,21953.11,22048.28,22065.46,21874.89
733,21695.26,21969.68,21971.24,21628.33
734,21599.51,21770.79,21897.35,21508.77
735,21850.59,21783.86,21875.16,21656.06
736,21859.97,22044.16,22047.85,21837.84
737,21759.14,21777.11,21905.1,21632.87
738,22171.95,21843.76,22182.75,21783.73
739,22041.77,21888.04,22099.29,21888.04
740,22061.78,22168.93,22206.09,21952.37
741,22061.18,22229.84,22237.1,22022.06
742,22398.1,22233.7,22464.05,22174.61
743,22770.47,22813.25,22817.5,22728.65
744,22747.95,22821.75,22821.75,22707.1
745,22517.55,22645.35,22737.5,22509.18
746,22530.18,22587.5,22707.37,22523.93
747,22726.43,22706.24,22835.03,22677.97
748,22347.23,22598.62,22598.62,22307.22
749,21663.16,22092.57,22092.57,21648.39
750,21926.88,21794.37,21935.68,21718.81
751,21940.2,21936.87,21945.02,21747.45
752,21875.38,21872.56,21974.57,21774.95
753,21804.75,21727.93,22026.6,21727.93
754,21902.4,21805.0,21909.54,21611.16
755,22003.69,22072.89,22088.24,21871.96
756,21987.29,22058.63,22090.55,21857.03
757,22444.8,22231.6,22449.11,22231.6
758,22293.29,22287.37,22330.2,22217.4
759,22572.08,22285.04,22581.56,22262.46
760,22541.69,22489.7,22635.38,22469.18
761,22570.74,22246.7,22572.3,22231.07
762,22440.25,22544.51,22623.01,22323.16
763,22663.37,22739.55,22808.33,22651.0
764,22421.46,22532.77,22623.22,22387.92
765,21992.72,22015.67,22041.87,21882.78
766,21884.74,22019.92,22087.12,21725.67
767,20946.14,20939.4,21017.72,20643.26
768,20490.57,20409.01,20572.51,20044.37
769,19330.7,19209.7,20158.55,18868.11
770,19783.67,19993.78,20105.87,19672.66
771,19595.14,19319.43,19728.88,19269.41
772,19620.01,19955.82,19955.82,19575.0
773,20260.1,20056.78,20264.33,19924.56
774,20212.08,20344.75,20431.86,20140.31
775,20289.03,20318.37,20504.38,20214.72
776,20016.27,20261.21,20342.24,19969.21
777,19399.92,19478.82,19595.92,19314.42
778,19486.87,19465.3,19666.84,19047.64
779,19875.53,19476.47,19893.37,19383.38
780,19466.79,19863.11,19876.67,19452.65
781,19752.48,19744.52,19803.28,19638.87
782,19582.88,19733.71,19919.92,19549.53
783,19865.11,19883.06,19919.34,19749.4
784,20204.17,20203.55,20341.12,20071.52
785,20534.85,20256.34,20556.93,20168.93
786,20585.33,20790.22,20975.3,20572.97
787,20212.91,20557.92,20580.81,20178.67
788,19616.4,19830.5,19830.5,19567.77
789,19710.5,19378.78,19727.89,19290.4
790,20048.0,19836.25,20069.75,19785.29
791,19912.82,20159.29,20159.29,19799.49
792,19866.63,19997.89,20088.8,19808.95
793,19030.54,19264.68,19303.74,18989.44
